aX,aY,aZ,gX,gY,gZ
1.019,-0.073,2.805,39.063,-30.518,-73.730
0.963,-0.078,2.730,41.748,-44.800,-81.482
0.916,-0.023,2.654,42.908,-59.631,-92.102
0.807,0.075,2.580,44.800,-77.881,-103.271
0.715,0.172,2.436,47.852,-93.384,-113.281
0.628,0.250,2.283,52.429,-105.530,-121.399
0.524,0.325,2.127,57.495,-117.493,-128.174
0.448,0.387,1.957,60.303,-126.221,-133.423
0.398,0.451,1.780,59.998,-131.897,-136.963
0.327,0.478,1.555,56.274,-136.414,-137.878
0.239,0.469,1.349,51.331,-131.287,-135.620
0.183,0.452,1.121,42.847,-127.258,-131.165
0.117,0.413,0.862,34.607,-124.207,-124.817
0.036,0.412,0.561,27.161,-120.239,-117.065
-0.077,0.417,0.289,24.902,-101.013,-113.220
-0.175,0.456,0.106,30.090,-73.608,-114.502
-0.230,0.383,-0.029,50.415,-45.044,-122.375
-0.232,0.203,-0.110,82.886,-27.527,-134.216
-0.200,0.057,-0.082,112.915,-30.884,-149.719
-0.214,0.029,0.016,132.629,-48.767,-162.109
-0.222,0.078,0.084,137.451,-66.650,-167.419
-0.169,0.155,0.119,123.718,-71.411,-165.649
-0.149,0.299,0.099,92.163,-74.341,-155.029
-0.092,0.546,0.011,46.570,-78.125,-135.681
-0.156,0.769,-0.081,-0.305,-78.369,-111.877
-0.276,0.898,-0.207,-31.860,-70.801,-90.576
-0.458,0.942,-0.341,-38.208,-53.894,-75.989
-0.608,0.890,-0.442,-22.217,-36.377,-72.266
-0.720,0.829,-0.462,2.686,-12.695,-76.721
-0.784,0.834,-0.357,22.156,9.033,-84.717
