aX,aY,aZ,gX,gY,gZ
-0.048,0.582,0.665,-401.733,-193.115,-99.060
-0.268,0.593,1.521,-428.711,-193.176,-106.873
-0.492,0.484,2.425,-442.932,-193.787,-111.877
-0.669,0.386,3.142,-429.565,-194.702,-111.877
-0.830,0.388,3.596,-380.371,-188.782,-107.239
-0.977,0.430,3.827,-305.115,-170.166,-102.173
-1.048,0.442,3.906,-230.469,-141.479,-98.145
-1.066,0.436,3.863,-175.171,-111.877,-93.933
-1.075,0.370,3.773,-137.207,-88.684,-88.806
-1.060,0.246,3.667,-110.352,-73.181,-80.627
-0.992,0.114,3.526,-87.708,-64.575,-68.359
-0.866,0.022,3.353,-64.636,-60.364,-54.382
-0.731,-0.031,3.152,-40.894,-58.655,-40.283
-0.545,-0.036,2.947,-20.264,-54.443,-29.297
-0.084,0.068,2.778,-3.845,-45.776,-19.958
-0.327,-0.092,2.520,13.916,-38.452,0.793
-0.061,-0.228,2.542,30.090,-27.649,11.169
0.003,-0.208,2.333,43.518,-36.682,2.014
0.192,-0.237,2.178,52.124,-28.198,-4.883
0.196,-0.200,1.966,61.951,-19.653,-6.836
0.248,-0.220,1.834,72.510,-1.526,-1.831
0.279,-0.220,1.752,84.595,13.062,-3.418
0.334,-0.187,1.663,93.811,22.400,-10.742
0.343,-0.140,1.566,99.915,25.574,-19.775
0.311,-0.104,1.491,104.309,26.672,-23.743
0.257,-0.084,1.424,108.154,28.015,-22.644
0.239,-0.063,1.370,112.244,29.114,-20.630
0.231,-0.041,1.331,116.089,28.687,-19.104
0.229,-0.020,1.300,118.042,25.208,-17.151
0.223,-0.007,1.269,117.859,19.165,-15.259
0.227,-0.003,1.231,116.028,12.268,-14.343
0.239,-0.008,1.194,113.342,6.531,-14.771
0.234,-0.021,1.168,110.779,3.357,-15.564
0.218,-0.034,1.146,109.192,3.845,-15.747
0.202,-0.041,1.112,109.558,7.202,-15.442
0.185,-0.048,1.079,111.572,12.207,-14.709
0.165,-0.057,1.055,113.831,17.273,-14.221
0.151,-0.057,1.031,114.685,21.362,-13.855
0.136,-0.070,1.012,114.441,24.109,-13.428
0.116,-0.095,0.994,112.854,26.611,-12.817
0.093,-0.115,0.970,110.535,27.893,-11.353
0.081,-0.131,0.940,109.253,27.344,-9.460
0.077,-0.147,0.908,108.398,26.306,-7.507
0.085,-0.165,0.886,106.384,25.146,-6.836
0.093,-0.192,0.864,101.685,24.170,-7.568
0.099,-0.214,0.837,96.375,22.217,-7.690
0.099,-0.232,0.816,92.346,19.897,-7.324
0.089,-0.259,0.791,89.355,17.761,-6.592
0.090,-0.276,0.763,86.487,15.747,-6.653
0.098,-0.280,0.724,84.351,14.709,-7.446
0.123,-0.282,0.683,83.496,15.137,-7.507
0.147,-0.294,0.644,82.275,17.517,-6.836
0.163,-0.307,0.600,79.407,22.461,-6.287
0.190,-0.312,0.561,76.477,30.396,-5.859
0.202,-0.323,0.537,74.585,40.588,-5.676
0.204,-0.322,0.533,73.364,51.331,-6.042
0.199,-0.313,0.532,72.449,60.425,-7.141
0.192,-0.299,0.529,71.289,65.430,-8.972
-1.764,0.340,-0.415,-72.266,-31.860,85.327
-1.582,0.458,-0.299,-86.548,-13.611,113.281
-1.393,0.472,-0.063,-97.717,-5.554,147.034
-1.126,0.526,0.199,-109.131,-8.423,175.720
-0.729,0.549,0.435,-121.216,-18.250,199.646
-0.309,0.525,0.707,-133.972,-34.058,220.947
0.098,0.476,1.000,-148.621,-51.270,235.840
0.513,0.396,1.283,-162.231,-63.843,239.197
0.866,0.310,1.528,-170.105,-72.021,229.858
1.096,0.253,1.757,-170.654,-74.646,212.708
1.270,0.209,2.010,-164.307,-66.467,193.237
1.423,0.149,2.259,-152.466,-45.898,175.598
1.511,0.104,2.507,-136.169,-18.250,161.316
1.550,0.067,2.747,-115.906,8.057,148.926
1.532,0.067,2.947,-92.712,26.611,137.207
1.492,0.095,3.088,-69.763,34.607,125.671
1.445,0.070,3.243,-50.415,34.180,115.845
1.636,0.087,3.267,-35.156,32.593,102.539
1.403,0.117,3.245,-14.771,8.057,89.355
1.281,0.143,3.110,0.977,-8.301,89.966
1.243,0.063,3.011,6.348,6.958,90.393
1.304,0.075,2.911,15.076,17.944,79.773
1.346,0.111,2.845,28.687,28.259,65.308
1.106,0.052,2.681,47.424,33.020,66.956
1.079,0.057,2.578,62.805,54.138,64.697
1.090,0.108,2.493,78.918,76.294,55.298
0.870,0.121,2.337,95.825,88.745,53.894
0.808,0.190,2.089,104.980,110.840,51.514
0.969,0.225,1.971,110.107,135.254,43.945
1.036,0.277,1.883,117.554,139.832,37.903
0.923,0.281,1.751,127.686,124.817,37.903
0.920,0.320,1.630,134.460,113.342,33.325
0.944,0.357,1.474,138.916,103.210,25.696
